,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
857,9.802240180969239,0.2154982420383507,0.024636030197143555,0.0017545723230852782,0.8,5,0.1,8,5,20,1.0,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 20, 'subsample': 1.0}",-31.827292246612263,-30.997237626762484,-31.585336701422168,-31.267872729600203,-31.808540063179784,-31.49725587351538,0.3213144753492957,158
858,4.789271450042724,0.15679413014422128,0.021593618392944335,0.001754248193075099,0.8,5,0.1,8,10,10,0.8,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 10, 'n_estimators': 10, 'subsample': 0.8}",-54.16563042990816,-53.809987652922764,-54.490223017777794,-53.93681710659259,-53.78922771378949,-54.038377184198154,0.262644143978643,844
859,5.039045524597168,0.11662636875273347,0.02272930145263672,0.0027479170561415973,0.8,5,0.1,8,10,10,1.0,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 10, 'n_estimators': 10, 'subsample': 1.0}",-54.052434479473796,-53.40895163212428,-54.27008974486766,-53.91052763927136,-54.22303032790755,-53.97300676472893,0.30956119745143446,825
860,6.986793518066406,0.0848660144694284,0.023756790161132812,0.001411032226914938,0.8,5,0.1,8,10,15,0.8,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 10, 'n_estimators': 15, 'subsample': 0.8}",-39.62117499819962,-38.91977920525651,-39.885667642646105,-39.31961797927339,-39.177823778603404,-39.3848127207958,0.33766069537573584,568
861,7.477434921264648,0.17560025283624017,0.022118425369262694,0.0004929546277603266,0.8,5,0.1,8,10,15,1.0,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 10, 'n_estimators': 15, 'subsample': 1.0}",-39.829508368716866,-38.64977625290301,-39.4820214063193,-38.87409834188861,-39.70174665327019,-39.30743020461959,0.46450368831278105,555
862,9.283811378479005,0.0944215004821601,0.028186225891113283,0.004506939399631314,0.8,5,0.1,8,10,20,0.8,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 10, 'n_estimators': 20, 'subsample': 0.8}",-32.269081664384636,-31.258795991136747,-31.95182397477044,-31.72692451314258,-31.906416565409092,-31.822608541768698,0.33169223317858776,186
863,9.795863819122314,0.12474682671036867,0.027039051055908203,0.004461605622187657,0.8,5,0.1,8,10,20,1.0,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 10, 'n_estimators': 20, 'subsample': 1.0}",-31.96254049014493,-31.36678060858492,-31.99694119987532,-31.493577515083746,-32.18467207224278,-31.80090237718634,0.3145624132809935,185
864,2.9386547088623045,0.0394239235673456,0.019704151153564452,0.001449950043606508,0.8,5,0.01,5,1,10,0.8,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 10, 'subsample': 0.8}",-116.68739127746629,-116.63446846958571,-116.71262858497882,-116.61244444090747,-116.63243599744727,-116.6558737540771,0.03770433660377212,1432
865,3.2773980140686034,0.16623186515976682,0.026158618927001952,0.01132497507900751,0.8,5,0.01,5,1,10,1.0,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 10, 'subsample': 1.0}",-116.6809539835024,-116.61501284698771,-116.70505069202692,-116.60519039100733,-116.61636944744345,-116.64451547219355,0.040500231012309706,1414
866,4.29517502784729,0.1716647189445089,0.02088589668273926,0.0013482573253722407,0.8,5,0.01,5,1,15,0.8,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 15, 'subsample': 0.8}",-111.68838045309009,-111.60419171183457,-111.74380569515561,-111.61330184700081,-111.6519764495614,-111.6603312313285,0.05135748430420105,1270
867,4.601932859420776,0.1449583098286919,0.026303815841674804,0.012232230070661302,0.8,5,0.01,5,1,15,1.0,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 15, 'subsample': 1.0}",-111.68265581433315,-111.585773360971,-111.72572858467217,-111.59542245927354,-111.62453029798377,-111.64282210344672,0.05347164591644537,1249
868,5.671599674224853,0.22545037612495322,0.024471330642700195,0.0029301901747120778,0.8,5,0.01,5,1,20,0.8,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 20, 'subsample': 0.8}",-106.96627727793204,-106.86314834979677,-107.0267014612423,-106.8630177284543,-106.92583138116332,-106.92899523971774,0.06266627642321229,1108
869,5.839687013626099,0.12555769510218198,0.02055811882019043,0.0001345307123124602,0.8,5,0.01,5,1,20,1.0,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 20, 'subsample': 1.0}",-106.94869143385522,-106.84662733139139,-107.00669210143096,-106.85832499131537,-106.90031824134003,-106.91213081986659,0.05933603570558287,1084
870,2.96669716835022,0.03846398179223936,0.02047419548034668,0.0020507478141382853,0.8,5,0.01,5,5,10,0.8,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 10, 'subsample': 0.8}",-116.68798242488687,-116.63447944979985,-116.71249164846664,-116.61217731909007,-116.63348273524832,-116.65612271549836,0.03769534509088057,1435
871,3.32456488609314,0.2635689398189627,0.02026233673095703,0.0011134019969396042,0.8,5,0.01,5,5,10,1.0,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 10, 'subsample': 1.0}",-116.68078657299215,-116.61501284698771,-116.70654315824426,-116.60514586906325,-116.61636944744345,-116.64477157894616,0.040927418414824585,1420
872,4.3985553741455075,0.3114402952399513,0.0222806453704834,0.0029068272154700705,0.8,5,0.01,5,5,15,0.8,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 15, 'subsample': 0.8}",-111.68858148793866,-111.60447703436515,-111.7444132034285,-111.61191235477293,-111.6525596881446,-111.66038875372996,0.051753868059141055,1273
873,4.6438487529754635,0.17539969770832006,0.02253432273864746,0.002464946627859478,0.8,5,0.01,5,5,15,1.0,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 15, 'subsample': 1.0}",-111.68174706704885,-111.585773360971,-111.72715138933496,-111.59503520213471,-111.62450036224465,-111.64284147634685,0.05385241411309577,1252
874,5.728945207595825,0.12102616885727135,0.022567319869995116,0.0019706929543534327,0.8,5,0.01,5,5,20,0.8,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 20, 'subsample': 0.8}",-106.96716016328135,-106.86341938796421,-107.02758485851476,-106.86455620734485,-106.92650724993209,-106.92984557340745,0.06266040266031911,1111
875,6.21899266242981,0.19912154007276905,0.02223043441772461,0.0038425685436036276,0.8,5,0.01,5,5,20,1.0,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 20, 'subsample': 1.0}",-106.94854157660738,-106.84662733139139,-107.00768208074392,-106.85794138746193,-106.90029266220198,-106.91221700768133,0.059704427111629314,1087
876,3.066137504577637,0.1311519767759554,0.020076227188110352,0.00096637826418893,0.8,5,0.01,5,10,10,0.8,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 10, 'subsample': 0.8}",-116.6884472258444,-116.63452256683006,-116.71364306310934,-116.61091049403743,-116.63339309648832,-116.65618328926192,0.03842080942604521,1438
877,3.1555280685424805,0.04162384759641798,0.019670629501342775,0.0008727029403867732,0.8,5,0.01,5,10,10,1.0,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 10, 'subsample': 1.0}",-116.68136033518678,-116.61461191204708,-116.70663337143202,-116.60577867175385,-116.61498756276598,-116.64467437063713,0.04118910327772416,1417
878,4.282345247268677,0.05619527206805131,0.020580768585205078,0.001150611738316862,0.8,5,0.01,5,10,15,0.8,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 15, 'subsample': 0.8}",-111.68901773815453,-111.60444875505262,-111.74661843875612,-111.61160297127518,-111.65244951578886,-111.66082748380545,0.0525862765925274,1276
879,4.409522581100464,0.1109706782812924,0.019659948348999024,0.00045868592937846613,0.8,5,0.01,5,10,15,1.0,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 15, 'subsample': 1.0}",-111.6849331646672,-111.58605394787568,-111.72761801958313,-111.59422519852423,-111.62431605484116,-111.64342927709829,0.05456849285308758,1255
880,5.420748996734619,0.11678450172837956,0.02069563865661621,0.0005765629209846558,0.8,5,0.01,5,10,20,0.8,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 20, 'subsample': 0.8}",-106.96756646160058,-106.8637748402698,-107.02949511791871,-106.86480495058291,-106.92640388426179,-106.93040905092676,0.06318034379731391,1114
881,5.668520069122314,0.08336782044685531,0.020767593383789064,0.0006314524344859605,0.8,5,0.01,5,10,20,1.0,"{'colsample_bytree': 0.8, 'gamma': 5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 20, 'subsample': 1.0}",-106.94615480856655,-106.84645351883837,-107.00778532444643,-106.85790184343458,-106.8991932123112,-106.91149774151943,0.05954340191318175,1081
